Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
103	183	0	1.50434128	101324.998	101324.998	101324.997	101324.999	0.00125872887	0.0139668823	100	22.0075	0	0	3
104	185	0	1.51894653	101324.998	101324.998	101324.997	101324.999	0.00116577245	0.0139668823	100	22.5013	0	0	3
105	187	0	1.53355179	101324.997	101324.998	101324.997	101324.999	0.0010988085	0.0139668823	100	22.2589	0	0	3
106	188	0	1.54815704	101324.997	101324.998	101324.997	101324.999	0.00109894731	0.0139668823	100	22.5035	0	0	3
107	190	0	1.5627623	101324.997	101324.998	101324.997	101324.999	0.00107878134	0.0139668823	100	22.1285	0	0	3
108	191	0	1.57736755	101324.998	101324.998	101324.997	101324.999	0.000774425571	0.0139668823	100	22.2521	0	0	3
109	193	0	1.59197281	101324.998	101324.998	101324.997	101324.999	0.000784238568	0.0139668823	100	22.2625	0	0	3
110	195	0	1.60657807	101324.997	101324.998	101324.997	101324.999	0.000796747467	0.0139668823	100	22.4057	0	0	3
111	196	0	1.62118332	101324.997	101324.998	101324.997	101324.999	0.00081594626	0.0139668823	100	22.1721	0	0	3
112	198	0	1.63578858	101324.997	101324.998	101324.997	101324.999	0.000845162969	0.0139668823	100	22.4315	0	0	3
113	200	0	1.65039383	101324.997	101324.998	101324.997	101324.999	0.000892460812	0.0139668823	100	22.2133	0	0	3
114	201	0	1.66499909	101324.998	101324.998	101324.997	101324.999	0.000881740605	0.0139668823	100	22.409	0	0	3
115	203	0	1.67960434	101324.997	101324.998	101324.997	101324.999	0.000865682727	0.0139668823	100	22.1055	0	0	3
116	205	0	1.6942096	101324.998	101324.998	101324.997	101324.999	0.000861942724	0.0139668823	100	22.6566	0	0	3
117	206	0	1.70881485	101324.997	101324.998	101324.997	101324.999	0.000866862465	0.0139668823	100	22.5018	0	0	3
118	208	0	1.72342011	101324.997	101324.998	101324.997	101324.999	0.000862488771	0.0139668823	100	22.7192	0	0	3
119	210	0	1.73802536	101324.997	101324.998	101324.997	101324.999	0.000839687156	0.0139668823	100	22.4295	0	0	3
120	211	0	1.75263062	101324.998	101324.998	101324.997	101324.999	0.000764111435	0.0139668823	100	22.3707	0	0	3
121	213	0	1.76723587	101324.998	101324.998	101324.997	101324.999	0.000694545481	0.0139668823	100	22.2207	0	0	3
122	215	0	1.78184113	101324.998	101324.998	101324.997	101324.999	0.0006599177	0.0139668823	100	22.5754	0	0	3
123	216	0	1.79644638	101324.997	101324.998	101324.997	101324.999	0.000672447059	0.0139668823	100	22.4983	0	0	3
124	218	0	1.81105164	101324.997	101324.998	101324.997	101324.999	0.000702607824	0.0139668823	100	22.8016	0	0	3
125	220	0	1.82565689	101324.997	101324.997	101324.997	101324.999	0.000730753629	0.0139668823	100	22.4094	0	0	3
126	222	0	1.84026215	101324.998	101324.997	101324.997	101324.999	0.000744188525	0.0139668823	100	22.2508	0	0	3
127	224	0	1.8548674	101324.997	101324.997	101324.997	101324.999	0.000743996206	0.0139668823	100	22.151	0	0	3
128	225	0	1.86947266	101324.998	101324.997	101324.997	101324.999	0.000722738172	0.0139668823	100	22.5545	0	0	3
129	227	0	1.88407791	101324.997	101324.997	101324.997	101324.999	0.000709745087	0.0139668823	100	22.4919	0	0	3
130	229	0	1.89868317	101324.997	101324.997	101324.997	101324.999	0.000719646254	0.0139668823	100	22.7811	0	0	3
