Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
214	369	0	3.1255246	0	0	0	0	0	5e-006	100	0	0	0	3
215	371	0	3.14012985	0	0	0	0	0	5e-006	100	0	0	0	3
216	372	0	3.15473511	0	0	0	0	0	5e-006	100	0	0	0	3
217	374	0	3.16934036	0	0	0	0	0	5e-006	100	0	0	0	3
218	376	0	3.18394562	0	0	0	0	0	5e-006	100	0	0	0	3
219	378	0	3.19855088	0	0	0	0	0	5e-006	100	0	0	0	3
220	379	0	3.21315613	0	0	0	0	0	5e-006	100	0	0	0	3
221	381	0	3.22776139	0	0	0	0	0	5e-006	100	0	0	0	3
222	383	0	3.24236664	0	0	0	0	0	5e-006	100	0	0	0	3
223	384	0	3.2569719	0	0	0	0	0	5e-006	100	0	0	0	3
224	386	0	3.27157715	0	0	0	0	0	5e-006	100	0	0	0	3
225	388	0	3.28618241	0	0	0	0	0	5e-006	100	0	0	0	3
226	389	0	3.30078766	0	0	0	0	0	5e-006	100	0	0	0	3
227	391	0	3.31539292	0	0	0	0	0	5e-006	100	0	0	0	3
228	392	0	3.32999817	0	0	0	0	0	5e-006	100	0	0	0	3
229	394	0	3.34460343	0	0	0	0	0	5e-006	100	0	0	0	3
230	396	0	3.35920868	0	0	0	0	0	5e-006	100	0	0	0	3
231	397	0	3.37381394	0	0	0	0	0	5e-006	100	0	0	0	3
232	399	0	3.38841919	0	0	0	0	0	5e-006	100	0	0	0	3
233	401	0	3.40302445	0	0	0	0	0	5e-006	100	0	0	0	3
234	402	0	3.4176297	0	0	0	0	0	5e-006	100	0	0	0	3
235	404	0	3.43223496	0	0	0	0	0	5e-006	100	0	0	0	3
236	406	0	3.44684021	0	0	0	0	0	5e-006	100	0	0	0	3
237	407	0	3.46144547	0	0	0	0	0	5e-006	100	0	0	0	3
238	409	0	3.47605072	0	0	0	0	0	5e-006	100	0	0	0	3
239	411	0	3.49065598	0	0	0	0	0	5e-006	100	0	0	0	3
240	412	0	3.50526123	0	0	0	0	0	5e-006	100	0	0	0	3
241	414	0	3.51986649	0	0	0	0	0	5e-006	100	0	0	0	3
242	415	0	3.53447174	0	0	0	0	0	5e-006	100	0	0	0	3
243	417	0	3.549077	0	0	0	0	0	5e-006	100	0	0	0	3
244	419	0	3.56368225	0	0	0	0	0	5e-006	100	0	0	0	3
245	421	0	3.57828751	0	0	0	0	0	5e-006	100	0	0	0	3
246	422	0	3.59289276	0	0	0	0	0	5e-006	100	0	0	0	3
247	424	0	3.60749802	0	0	0	0	0	5e-006	100	0	0	0	3
248	426	0	3.62210327	0	0	0	0	0	5e-006	100	0	0	0	3
249	427	0	3.63670853	0	0	0	0	0	5e-006	100	0	0	0	3
250	429	0	3.65131378	0	0	0	0	0	5e-006	100	0	0	0	3
251	431	0	3.66591904	0	0	0	0	0	5e-006	100	0	0	0	3
252	432	0	3.68052429	0	0	0	0	0	5e-006	100	0	0	0	3
253	434	0	3.69512955	0	0	0	0	0	5e-006	100	0	0	0	3
254	435	0	3.7097348	0	0	0	0	0	5e-006	100	0	0	0	3
255	437	0	3.72434006	0	0	0	0	0	5e-006	100	0	0	0	3
256	439	0	3.73894532	0	0	0	0	0	5e-006	100	0	0	0	3
257	440	0	3.75355057	0	0	0	0	0	5e-006	100	0	0	0	3
258	442	0	3.76815583	0	0	0	0	0	5e-006	100	0	0	0	3
259	444	0	3.78276108	0	0	0	0	0	5e-006	100	0	0	0	3
260	445	0	3.79736634	0	0	0	0	0	5e-006	100	0	0	0	3
261	447	0	3.81197159	0	0	0	0	0	5e-006	100	0	0	0	3
262	449	0	3.82657685	0	0	0	0	0	5e-006	100	0	0	0	3
263	450	0	3.8411821	0	0	0	0	0	5e-006	100	0	0	0	3
264	452	0	3.85578736	0	0	0	0	0	5e-006	100	0	0	0	3
265	454	0	3.87039261	0	0	0	0	0	5e-006	100	0	0	0	3
266	455	0	3.88499787	0	0	0	0	0	5e-006	100	0	0	0	3
267	457	0	3.89960312	0	0	0	0	0	5e-006	100	0	0	0	3
268	458	0	3.91420838	0	0	0	0	0	5e-006	100	0	0	0	3
269	460	0	3.92881363	0	0	0	0	0	5e-006	100	0	0	0	3
270	462	0	3.94341889	0	0	0	0	0	5e-006	100	0	0	0	3
271	463	0	3.95802414	0	0	0	0	0	5e-006	100	0	0	0	3
272	465	0	3.9726294	0	0	0	0	0	5e-006	100	0	0	0	3
273	466	0	3.98723465	0	0	0	0	0	5e-006	100	0	0	0	3
274	468	0	4.00183991	0	0	0	0	0	5e-006	100	0	0	0	3
