Iteration	CPUTime	PhysTime	Travels	CourFact
180	311	0	2.62894592	0
181	313	0	2.64355118	0
182	315	0	2.65815643	0
183	316	0	2.67276169	0
184	318	0	2.68736695	0
185	320	0	2.7019722	0
186	321	0	2.71657746	0
187	323	0	2.73118271	0
188	325	0	2.74578797	0
189	326	0	2.76039322	0
190	328	0	2.77499848	0
191	330	0	2.78960373	0
192	331	0	2.80420899	0
193	333	0	2.81881424	0
194	335	0	2.8334195	0
195	336	0	2.84802475	0
196	338	0	2.86263001	0
197	340	0	2.87723526	0
198	342	0	2.89184052	0
199	343	0	2.90644577	0
200	345	0	2.92105103	0
201	347	0	2.93565628	0
202	349	0	2.95026154	0
203	350	0	2.96486679	0
204	352	0	2.97947205	0
205	354	0	2.9940773	0
206	356	0	3.00868256	0
207	357	0	3.02328781	0
208	359	0	3.03789307	0
209	361	0	3.05249832	0
210	362	0	3.06710358	0
211	364	0	3.08170883	0
212	366	0	3.09631409	0
213	367	0	3.11091934	0
214	369	0	3.1255246	0
215	371	0	3.14012985	0
216	372	0	3.15473511	0
217	374	0	3.16934036	0
218	376	0	3.18394562	0
219	378	0	3.19855088	0
220	379	0	3.21315613	0
221	381	0	3.22776139	0
222	383	0	3.24236664	0
223	384	0	3.2569719	0
224	386	0	3.27157715	0
225	388	0	3.28618241	0
226	389	0	3.30078766	0
