Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
120	211	0	1.75263062	293.204208	293.203741	293.202953	293.204208	0.00125498103	9.37132157e-005	7.4	0.0161964	0	0	3
121	213	0	1.76723587	293.204214	293.203777	293.203014	293.204214	0.00120032152	9.38013693e-005	7.8	0.0162096	0	0	3
122	215	0	1.78184113	293.204219	293.203811	293.203074	293.204219	0.00114522991	9.3858669e-005	8.1	0.0161685	0	0	3
123	216	0	1.79644638	293.204222	293.203844	293.203133	293.204222	0.00108878381	9.38856763e-005	8.6	0.0161041	0	0	3
124	218	0	1.81105164	293.204223	293.203875	293.203191	293.204223	0.00103186335	9.38827046e-005	9	0.0160383	0	0	3
125	220	0	1.82565689	293.204222	293.203905	293.203248	293.204223	0.000974520634	9.38510595e-005	9.6	0.0159729	0	0	3
126	222	0	1.84026215	293.20422	293.203933	293.203305	293.204223	0.000917852759	9.3791792e-005	10.2	0.0158062	0	0	3
127	224	0	1.8548674	293.204217	293.203959	293.20336	293.204223	0.000862663807	9.37055813e-005	10.8	0.0158288	0	0	3
128	225	0	1.86947266	293.204213	293.203983	293.203414	293.204223	0.000808932996	9.35930356e-005	11.5	0.0158062	0	0	3
129	227	0	1.88407791	293.204208	293.204006	293.203466	293.204223	0.000756624556	9.34547204e-005	12.3	0.0157516	0	0	3
130	229	0	1.89868317	293.2042	293.204027	293.203518	293.204223	0.000705047572	9.32911244e-005	13.2	0.0157076	0	0	3
131	230	0	1.91328842	293.204191	293.204046	293.203568	293.204223	0.00065507907	9.31030589e-005	14.2	0.0156396	0	0	3
132	232	0	1.92789368	293.204182	293.204063	293.203617	293.204223	0.000606028247	9.28913565e-005	15.3	0.0154885	0	0	3
133	234	0	1.94249893	293.204171	293.204079	293.203664	293.204223	0.000559083701	9.26569492e-005	16.5	0.0155059	0	0	3
134	235	0	1.95710419	293.204159	293.204093	293.203708	293.204223	0.000514172467	9.24008581e-005	17.9	0.0154814	0	0	3
135	237	0	1.97170944	293.204146	293.204106	293.203751	293.204223	0.000471290784	9.21240737e-005	19.5	0.0154487	0	0	3
136	238	0	1.9863147	293.204132	293.204117	293.203793	293.204223	0.000429630397	9.18276034e-005	21.3	0.0154124	0	0	3
137	240	0	2.00091995	293.204116	293.204126	293.203833	293.204223	0.00038978032	9.15121827e-005	23.4	0.0153405	0	0	3
138	242	0	2.01552521	293.204099	293.204134	293.203871	293.204223	0.000351360431	9.11784897e-005	25.9	0.015203	0	0	3
139	243	0	2.03013046	293.204082	293.20414	293.203907	293.204223	0.000315369934	9.0827326e-005	28.8	0.0151949	0	0	3
140	245	0	2.04473572	293.204064	293.204144	293.203941	293.204223	0.000281712955	9.04591163e-005	32.1	0.0152031	0	0	3
141	247	0	2.05934097	293.204044	293.204147	293.203972	293.204223	0.000250441879	9.00745597e-005	35.9	0.0151273	0	0	3
142	248	0	2.07394623	293.204023	293.204149	293.204002	293.204223	0.00022078845	8.96743592e-005	40.6	0.015073	0	0	3
143	250	0	2.08855148	293.204001	293.204149	293.204001	293.204223	0.00022136727	8.9259235e-005	40.3	0.0150044	0	0	3
144	252	0	2.10315674	293.203979	293.204147	293.203979	293.204223	0.000243900371	8.88298577e-005	36.4	0.0148526	0	0	3
145	253	0	2.11776199	293.203955	293.204144	293.203955	293.204223	0.0002673521	8.8386701e-005	33	0.0148778	0	0	3
146	255	0	2.13236725	293.203931	293.20414	293.203931	293.204223	0.000291452407	8.79299772e-005	30.1	0.0148733	0	0	3
147	257	0	2.14697251	293.203906	293.204134	293.203906	293.204223	0.000316709449	8.7459965e-005	27.6	0.0148204	0	0	3
148	258	0	2.16157776	293.20388	293.204128	293.20388	293.204223	0.000342970084	8.69775363e-005	25.3	0.0147787	0	0	3
149	260	0	2.17618302	293.203852	293.204119	293.203852	293.204223	0.000370182982	8.64834971e-005	23.3	0.0147228	0	0	3
150	261	0	2.19078827	293.203825	293.20411	293.203825	293.204223	0.000397946867	8.59782277e-005	21.6	0.0145637	0	0	3
151	263	0	2.20539353	293.203796	293.204099	293.203796	293.204223	0.000426498395	8.54621534e-005	20	0.0145907	0	0	3
152	265	0	2.21999878	293.203767	293.204087	293.203767	293.204223	0.000455516146	8.49358268e-005	18.6	0.0145913	0	0	3
153	266	0	2.23460404	293.203737	293.204074	293.203737	293.204223	0.000445218791	8.43999442e-005	18.9	0.0145464	0	0	3
154	268	0	2.24920929	293.203706	293.20406	293.203706	293.204223	0.00040760709	8.385499e-005	20.5	0.0145026	0	0	3
155	270	0	2.26381455	293.203675	293.204045	293.203675	293.204223	0.000371580157	8.33015622e-005	22.4	0.0144444	0	0	3
156	271	0	2.2784198	293.203642	293.204029	293.203642	293.204223	0.000337153126	8.27402651e-005	24.5	0.0142818	0	0	3
157	273	0	2.29302506	293.20361	293.204011	293.20361	293.204223	0.000304354361	8.21715522e-005	26.9	0.0142964	0	0	3
158	275	0	2.30763031	293.203576	293.203993	293.203576	293.204223	0.00027321767	8.15960954e-005	29.8	0.0142871	0	0	3
159	276	0	2.32223557	293.203542	293.203973	293.203542	293.204222	0.000243752215	8.10143123e-005	33.2	0.0142566	0	0	3
160	278	0	2.33684082	293.203508	293.203953	293.203508	293.20422	0.000215972962	8.0426634e-005	37.2	0.0142242	0	0	3
161	280	0	2.35144608	293.203472	293.203932	293.203472	293.204217	0.000216885089	7.98337349e-005	36.8	0.0141673	0	0	3
162	281	0	2.36605133	293.203436	293.203909	293.203436	293.204213	0.000239201989	7.92362537e-005	33.1	0.014026	0	0	3
163	283	0	2.38065659	293.2034	293.203886	293.2034	293.204208	0.000262439816	7.86558941e-005	29.9	0.0140539	0	0	3
164	285	0	2.39526184	293.203363	293.203862	293.203363	293.2042	0.000286560196	7.80993194e-005	27.2	0.014055	0	0	3
165	286	0	2.4098671	293.203326	293.203837	293.203326	293.204191	0.000311534039	7.75659557e-005	24.8	0.0140193	0	0	3
